"","gene","Pr..Chisq.","fdr","logfc"
"Vapa","Vapa",7.13838138623e-08,3.939288312678e-06,0.412291428950142
"Vsnl1","Vsnl1",0.00149117890251592,0.0360192506621185,0.185604600457524
"Wbp5","Wbp5",0.000936366783676368,0.0238209053407598,-0.218267317507084
"Wsb2","Wsb2",0.00011853135892205,0.00391863580141375,0.265840019597498
"Yaf2","Yaf2",5.86479288353363e-06,0.000241804736473967,0.210641275611183
"Ywhae","Ywhae",1.26437627148881e-17,1.7443529560886e-15,1.14698686376568
"Ywhah","Ywhah",1.4901442761779e-24,3.34071719915633e-22,1.11560746468385
"Ywhaq","Ywhaq",6.03826285886459e-17,7.59973644727975e-15,0.841289588324018
"Zc3h15","Zc3h15",0.00034220335234095,0.0100202728558938,-0.139177872426371
"Zfos1","Zfos1",3.42452924222151e-07,1.74238104848916e-05,-0.14100540908751
"Zfp260","Zfp260",0.00148601190331986,0.0360192506621185,NA
"Zfp428","Zfp428",0.00197965695968503,0.0453739905072855,-0.185615526981776
